ticker,name,score,roe,revenue_growth,earnings_growth,per,pbr,debt_to_equity,sector,index
FIX,Comfort Systems USA,43.9,0.53294,0.01,0.388,50.253967,94.86789,45.489,Industrials,S&P500
FE,FirstEnergy,43.9,0.094610006,0.116,0.129,26.374998,2.2184129,198.922,Utilities,S&P500
CR,Crane,43.8,0.16613,0.249,-0.378,39.860806,5.993281,57.874,Industrials,S&P400
TMUS,T-Mobile US,43.7,0.18024999,0.106,-0.12,18.865038,3.4496698,218.569,Communication Services,S&P500
WSM,"Williams-Sonoma, Inc.",43.6,0.54007,0.044,0.043,25.507847,12.976502,79.878,Consumer Discretionary,S&P500
TYL,Tyler Technologies,43.6,0.08930001,0.086,0.022,43.875862,3.7946746,1.348,Information Technology,S&P500
CNC,Centene Corporation,43.6,-0.26044,0.051,0.183,,1.5637746,76.049,Health Care,S&P500
NWS,News Corp (Class B),43.6,0.06524,0.088,-0.104,38.189873,1.9338504,31.559,Communication Services,S&P500
VTRS,Viatris,43.5,-0.01957,0.081,,,1.3266604,99.675,Health Care,S&P500
JCI,Johnson Controls,43.5,0.13449,0.082,0.389,43.04587,6.3531322,70.317,Industrials,S&P500
EXP,Eagle Materials,43.5,0.28914,0.019,-0.044,16.728724,4.6613307,121.83,Materials,S&P400
BURL,Burlington Stores,43.4,0.39141,0.141,0.133,32.253345,10.606923,319.733,Consumer Discretionary,S&P400
ARMK,Aramark,43.4,0.11224,0.147,0.652,42.00746,4.509694,192.213,Consumer Discretionary,S&P400
FDXF,FedEx Freight,43.4,,-0.047,,33.145054,0.0015755328,,Industrials,S&P500
DAR,Darling Ingredients,43.4,0.04879,0.123,,40.963768,1.8423883,87.92,Consumer Staples,S&P400
JBHT,J.B. Hunt,43.3,0.16676001,0.046,0.274,44.452564,7.4987535,43.622,Industrials,S&P500
LUV,Southwest Airlines,43.3,0.10062,0.128,,33.5,3.5724442,93.033,Industrials,S&P500
DOC,Healthpeak Properties,43.2,0.027999999,0.071,3.639,68.40625,1.9445678,118.243,Real Estate,S&P500
PH,Parker Hannifin,43.2,0.24841999,0.106,-0.042,35.58352,8.310448,65.554,Industrials,S&P500
