ticker,name,score,roe,op_margin,net_margin,equity_ratio,per,pbr,price,sector33,market,scale
5695.T,パウダーテック,54.9,0.0317398119122257,0.0579868708971553,0.0443107221006564,0.816,21.13483307064049,0.6726406274939006,2950.0,鉄鋼,スタンダード,-
7615.T,京都きもの友禅ホールディングス,54.9,0.0713363460296965,0.0435220971265333,0.0371366156948412,0.379,7.116104868913858,0.6351541084442067,95.0,小売業,スタンダード,-
5757.T,ＣＫサンエツ,54.9,0.0572564168050057,0.0947617071962954,0.0240032655683293,0.563,12.378814873088226,0.8043455709124586,5350.0,非鉄金属,プライム,TOPIX Small 2
6754.T,アンリツ,54.9,0.0879842069968429,0.1262365701248063,0.0994108733037067,0.766,49.34210526315789,4.339775488948038,4500.0,電気機器,プライム,TOPIX Mid400
7072.T,インティメート・マージャー,54.9,0.065035799522673,0.087893864013267,0.0602542841348811,0.69,28.2707622298066,,994.0,サービス業,グロース,-
5704.T,ＪＭＣ,54.9,0.0457705677867902,0.1345108695652173,0.1073369565217391,0.607,27.758257203092057,1.270586721564591,395.0,非鉄金属,グロース,-
6183.T,ベルシステム２４ホールディングス,54.8,0.1093979834719584,0.086760934264123,0.0561011067985132,0.435,12.547632008709853,1.3908163881011284,1383.0,サービス業,プライム,TOPIX Small 2
6050.T,イー・ガーディアン,54.8,0.031018711018711,0.1037701317715959,0.0682650073206442,0.899,52.82433271260087,,1702.0,サービス業,プライム,TOPIX Small 2
366A.T,ウェルネス・コミュニケーションズ,54.8,0.1409465020576131,0.0802544322641764,0.0556232237109216,0.599,15.954792308821371,2.3226992029744227,1087.0,サービス業,グロース,-
177A.T,コージンバイオ,54.8,0.0422203532380151,0.0690423162583518,0.0508200040494027,0.668,17.674608022805945,0.7462943219726932,868.0,化学,グロース,-
5607.T,,54.8,0.0683977592770264,0.0488636363636363,0.0570764462809917,0.676,,,,,,
8425.T,みずほリース,54.8,0.1047574201980773,0.0484748131494197,0.0516595196138855,0.103,7.424402870925991,0.8260081291766754,1262.0,その他金融業,プライム,TOPIX Small 1
2304.T,ＣＳＳホールディングス,54.8,0.1150521609538003,0.0545121833766734,0.0371761533275546,0.498,11.7865369848989,,921.0,サービス業,スタンダード,-
8255.T,アクシアル　リテイリング,54.8,0.0924510071625112,0.0412301716203778,0.0297865573060473,0.661,11.467982279500603,1.0596827464297345,1139.0,小売業,プライム,TOPIX Small 2
4119.T,日本ピグメントホールディングス,54.8,0.0478352387634652,0.0357379689276241,0.027448844259189,0.492,7.285727827959319,0.3771587607039829,5380.0,化学,スタンダード,-
5268.T,旭コンクリート工業,54.8,0.0357929515418502,0.0797537977998952,0.0595861707700366,0.758,24.41423199305756,0.8744573494824747,844.0,ガラス･土石製品,スタンダード,-
6723.T,ルネサスエレクトロニクス,54.8,0.0267627337895566,0.2381426952376194,0.1792013000502244,0.601,128.29385147724247,,4820.0,電気機器,プライム,TOPIX Large70
6674.T,ジーエス・ユアサ　コーポレーション,54.7,0.0942652297465874,0.0988054089114032,0.0687411226693158,0.533,16.143100184506267,1.7124758837539749,6737.0,電気機器,プライム,TOPIX Mid400
256A.T,飛島ホールディングス,54.7,0.0890477678325277,0.0496211985206994,0.0347922875300707,0.333,8.003636219912257,0.713890367591845,2025.0,建設業,プライム,TOPIX Small 2
9818.T,大丸エナウィン,54.7,0.0601805416248746,0.0397589992965715,0.0293604917882374,0.689,12.359191499560598,0.7442258751990455,1547.0,卸売業,スタンダード,-
367A.T,プリモグローバルホールディングス,54.7,0.0731536926147704,0.1452797089207978,0.0952504710545123,0.414,18.429057076400078,1.3523094294041962,3090.0,小売業,スタンダード,-
2708.T,久世,54.7,0.1818934299017072,0.029917146238929,0.0239173911268927,0.391,5.181483429773803,0.94291307490176,1970.0,卸売業,スタンダード,-
8393.T,宮崎銀行,54.7,0.0633908291542042,,0.1563238279040362,0.054,13.279942624910351,0.8391777417734523,2222.0,銀行業,プライム,TOPIX Small 2
8052.T,椿本興業,54.7,0.1000577677735503,0.0497054154710299,0.0383341473838451,0.499,10.22153981136214,1.028901989357709,2796.0,卸売業,プライム,TOPIX Small 2
6184.T,鎌倉新書,54.6,0.0340551868669228,0.1376021798365122,0.0885558583106267,0.744,106.10526315789474,,504.0,サービス業,プライム,TOPIX Small 2
7228.T,デイトナ,54.6,0.0276864325872493,0.099685804055984,0.0745501285347043,0.792,34.992719330178375,,3845.0,輸送用機器,スタンダード,-
