ticker,name,score,gc_recent,trend_aligned,rsi,ret20,pct_from_52w_high,vol_ratio_on_gc,close,turnover20,sector,index
HALO,Halozyme,85,True,True,72.8,13.8,-2.2,0.79,79.45,133962716,Health Care,S&P400
MXL,"MaxLinear, Inc.",85,True,True,55.2,1.9,-27.3,0.98,93.12,371042598,Information Technology,S&P600
CTKB,"Cytek Biosciences, Inc.",85,True,False,67.1,13.3,-21.9,0.62,4.59,9692696,Health Care,S&P600
JBHT,J.B. Hunt,85,True,True,47.2,2.1,-1.5,1.02,285.83,290756729,Industrials,S&P500
AHCO,AdaptHealth Corp.,85,True,False,63.4,10.7,-19.6,1.15,10.76,15898059,Health Care,S&P600
MTZ,MasTec,85,True,True,54.2,1.0,-14.6,1.02,373.43,458713021,Industrials,S&P400
MCO,Moody's Corporation,85,True,True,70.4,9.4,-8.7,0.98,490.51,501827748,Financials,S&P500
ESNT,Essent Group Ltd.,85,True,False,82.3,16.1,-2.4,0.64,64.85,66963385,Financials,S&P400
KGS,"Kodiak Gas Services, Inc.",85,True,True,51.6,0.9,-10.9,0.87,67.94,146014607,Energy,S&P600
KFY,Korn/Ferry International,85,True,False,42.1,0.3,-6.8,1.11,69.68,56245325,Industrials,S&P600
DBX,Dropbox,85,True,True,60.5,3.5,-11.2,0.9,28.56,107466954,Information Technology,S&P400
JBGS,JBG Smith,85,True,False,62.9,7.4,-34.1,0.9,15.47,9162808,Real Estate,S&P600
DEI,Douglas Emmett,85,True,True,57.5,9.0,-21.0,0.78,12.51,27069353,Real Estate,S&P600
HRB,H&R Block,85,True,True,69.7,5.5,-26.4,0.72,40.04,82371988,Consumer Discretionary,S&P400
ITGR,Integer Holdings Corporation,85,True,True,58.8,4.7,-21.9,0.61,95.14,40505834,Health Care,S&P600
CHE,Chemed Corp.,85,True,True,93.5,14.7,0.0,1.11,489.66,100919445,Health Care,S&P400
EZPW,"EZCORP, Inc.",85,True,True,73.3,11.8,0.0,1.15,35.59,38483875,Financials,S&P600
HTO,H2O America,85,True,True,86.2,11.3,0.0,1.0,62.42,28636915,Utilities,S&P600
DUOL,Duolingo,85,True,True,51.9,17.1,-68.3,0.63,125.76,189881069,Consumer Discretionary,S&P400
CHDN,Churchill Downs Inc.,85,True,False,57.6,5.7,-22.7,0.78,90.91,96050604,Consumer Discretionary,S&P400
RELY,Remitly,85,True,True,84.8,20.4,-2.2,0.85,23.75,99088515,Financials,S&P600
PPLI,People Inc.,85,True,True,72.9,10.7,0.0,1.16,46.75,42229323,Communication Services,S&P600
PAYX,Paychex,85,True,True,64.2,8.0,-25.7,1.18,106.35,387422572,Industrials,S&P500
RH,RH,85,True,True,56.7,10.9,-32.6,0.94,169.08,168079198,Consumer Discretionary,S&P400
OHI,Omega Healthcare Investors,85,True,True,75.6,12.1,0.0,0.77,49.4,119001988,Real Estate,S&P400
UNF,UniFirst Corporation,85,True,True,47.4,3.5,-0.8,0.38,273.56,70057233,Industrials,S&P600
OKE,Oneok,85,True,False,46.4,1.2,-7.8,0.91,87.83,344441249,Energy,S&P500
UTI,Universal Technical Institute,85,True,True,70.7,8.3,0.0,0.55,48.24,45569679,Consumer Discretionary,S&P600
SAH,"Sonic Automotive, Inc.",85,True,True,49.7,1.0,-3.6,0.75,83.73,21612066,Consumer Discretionary,S&P600
VRTS,"Virtus Investment Partners, Inc.",85,True,True,61.6,7.6,-24.9,1.01,151.64,18367481,Financials,S&P600
ADP,Automatic Data Processing,85,True,True,67.6,7.2,-19.9,0.97,242.27,679254369,Industrials,S&P500
VTR,Ventas,85,True,False,78.6,17.7,0.0,0.86,92.52,383840283,Real Estate,S&P500
SFM,Sprouts Farmers Market,85,True,True,53.5,13.9,-47.0,1.09,89.94,191884646,Consumer Staples,S&P400
RDN,"Radian Group, Inc.",85,True,True,85.3,12.7,0.0,0.79,37.94,49283863,Financials,S&P600
SIRI,SiriusXM,85,True,True,86.5,8.7,0.0,0.75,30.51,187823396,Communication Services,S&P400
GEN,Gen Digital,85,True,True,69.1,0.6,-15.5,0.7,26.67,178536647,Information Technology,S&P500
PINS,Pinterest,85,True,True,53.1,6.8,-43.7,0.65,22.07,409019729,Communication Services,S&P400
PARR,"Par Pacific Holdings, Inc.",85,True,False,60.0,2.3,-15.5,0.94,58.49,46862944,Energy,S&P600
OII,"Oceaneering International, Inc.",85,True,True,44.7,1.3,-5.0,1.2,38.5,45836695,Energy,S&P600
WERN,Werner Enterprises,85,True,True,46.5,0.4,-2.9,0.81,43.2,45326857,Industrials,S&P600
PJT,"PJT Partners, Inc.",85,True,False,60.5,5.3,-14.6,0.98,162.99,76927455,Financials,S&P600
PI,"Impinj, Inc.",85,True,True,60.0,2.8,-41.5,0.67,141.58,55617369,Information Technology,S&P600
NXRT,"NexPoint Residential Trust, Inc.",85,True,True,57.4,2.3,-11.1,0.75,28.72,9113259,Real Estate,S&P600
OUT,Outfront Media,85,True,True,74.3,6.1,-2.1,0.71,32.86,68671354,Real Estate,S&P600
TXRH,Texas Roadhouse,85,True,True,85.5,16.9,-1.2,1.28,194.28,228731171,Consumer Discretionary,S&P400
CPK,Chesapeake Utilities Corp.,80,True,False,58.8,4.3,-8.6,1.02,125.0,23502631,Utilities,S&P600
WTRG,Essential Utilities,80,True,False,68.9,6.4,-4.6,1.07,39.38,83885260,Utilities,S&P400
AM,Antero Midstream,80,True,False,65.5,5.6,-3.8,0.9,22.46,57331753,Energy,S&P400
ADC,Agree Realty,80,True,False,65.0,8.4,-3.7,0.67,77.81,90776439,Real Estate,S&P400
DINO,HF Sinclair,80,True,True,56.9,-1.1,-2.0,0.87,72.5,163548958,Energy,S&P400
TR,"Tootsie Roll Industries, Inc.",80,True,False,60.5,8.5,-8.8,1.15,40.78,13514407,Consumer Staples,S&P600
AON,Aon plc,80,True,True,62.3,13.3,-4.5,0.84,357.46,630566161,Financials,S&P500
STRA,"Strategic Education, Inc.",80,True,False,53.1,2.4,-4.8,0.65,80.98,22432792,Consumer Discretionary,S&P600
FCPT,"Four Corners Property Trust, Inc.",80,True,True,57.7,5.6,-1.9,0.95,25.11,25112076,Real Estate,S&P600
NEE,NextEra Energy,80,True,False,66.8,5.2,-9.1,1.07,88.34,1034185466,Utilities,S&P500
TDC,Teradata,80,True,True,57.9,-1.2,-8.8,0.8,34.56,111139459,Information Technology,S&P600
EPRT,"Essential Properties Realty Trust, Inc.",80,True,False,60.7,6.1,-8.0,1.05,31.18,72031749,Real Estate,S&P600
GRMN,Garmin,80,True,False,54.0,1.3,-9.9,0.56,240.02,211494662,Consumer Discretionary,S&P500
ANET,Arista Networks,80,True,True,52.5,-8.2,-10.0,1.26,159.99,1346258110,Information Technology,S&P500
WM,Waste Management,80,True,False,67.7,6.1,-5.8,1.23,230.4,552939676,Industrials,S&P500
CHD,Church & Dwight,80,True,True,54.4,6.1,-6.0,0.85,98.6,200801951,Consumer Staples,S&P500
OMC,Omnicom Group,80,True,False,58.1,7.8,-6.5,0.64,78.62,385392274,Communication Services,S&P500
KMI,Kinder Morgan,80,True,False,57.2,2.2,-6.6,0.8,32.06,342135215,Energy,S&P500
O,Realty Income,80,True,False,61.9,7.4,-3.8,0.7,63.84,409200249,Real Estate,S&P500
GD,General Dynamics,80,True,True,61.5,11.3,0.0,0.9,373.54,512988322,Industrials,S&P500
BMY,Bristol Myers Squibb,80,True,False,57.0,7.4,-4.8,0.79,58.13,748993837,Health Care,S&P500
MPC,Marathon Petroleum,80,True,True,54.8,-0.3,-0.3,0.73,266.35,643264901,Energy,S&P500
WAT,Waters Corporation,80,True,True,67.4,-0.1,-8.1,0.91,379.29,356570283,Health Care,S&P500
APD,Air Products,75,True,False,76.4,12.0,0.0,1.74,314.19,477139694,Materials,S&P500
CWST,"Casella Waste Systems, Inc.",75,True,True,66.7,16.0,-14.0,2.24,97.49,68785417,Industrials,S&P600
CARG,CarGurus,75,True,False,89.8,33.0,-7.1,1.71,36.24,42425145,Communication Services,S&P600
EFC,"Ellington Financial, Inc.",75,True,True,48.9,1.8,-1.0,2.88,13.47,19429331,Financials,S&P600
UHT,Universal Health Realty Income Trust,75,True,True,76.9,17.6,0.0,1.98,45.82,12370280,Real Estate,S&P600
CRVL,CorVel Corporation,75,True,True,60.6,12.0,-37.6,2.67,64.14,15597234,Health Care,S&P600
EG,Everest Group,75,True,False,82.4,17.4,0.0,2.9,371.35,172438370,Financials,S&P500
WEN,The Wendy's Company,75,True,True,66.8,25.5,-22.7,1.36,8.6,240889729,Consumer Discretionary,S&P600
CTVA,Corteva,75,True,False,88.8,10.3,0.0,1.38,85.8,372205936,Materials,S&P500
ACAD,Acadia Pharmaceuticals,75,True,True,86.5,21.2,-7.4,1.5,25.97,40167625,Health Care,S&P600
CYTK,Cytokinetics,75,True,True,88.9,22.3,-0.9,1.9,86.49,199661699,Health Care,S&P400
SAFT,"Safety Insurance Group, Inc.",75,True,False,75.1,13.6,-2.5,1.43,77.47,11227458,Financials,S&P600
MSEX,Middlesex Water Company,75,True,True,82.3,10.8,-5.2,1.45,57.55,9385534,Utilities,S&P600
CHRW,C.H. Robinson,75,True,True,48.4,5.4,-4.7,1.38,189.85,267849086,Industrials,S&P500
CTRE,CareTrust REIT,75,True,False,86.3,10.9,-0.6,2.73,41.76,140900141,Real Estate,S&P400
TTWO,Take-Two Interactive,75,True,True,84.8,18.2,-2.8,2.52,254.99,710653654,Communication Services,S&P500
CRWD,CrowdStrike,75,True,True,75.8,3.8,-0.8,1.35,193.98,2377851087,Information Technology,S&P500
RCUS,"Arcus Biosciences, Inc.",75,True,True,77.9,27.1,-2.4,2.15,30.33,46432821,Health Care,S&P600
