ticker,name,score,gc_recent,trend_aligned,rsi,ret20,pct_from_52w_high,vol_ratio_on_gc,close,turnover20,sector33,market,scale
8714.T,池田泉州ホールディングス,85,True,True,46.5,2.3,-1.1,0.93,1016.0,1149691950,銀行業,プライム,TOPIX Small 1
8194.T,ライフコーポレーション,85,True,True,46.6,1.4,-6.4,0.48,2585.0,615679925,小売業,プライム,TOPIX Small 1
3946.T,トーモク,85,True,True,71.4,8.0,-0.2,0.93,4005.0,123799350,パルプ・紙,プライム,TOPIX Small 2
9902.T,日伝,85,True,True,70.7,6.9,-7.9,1.16,2677.0,168150090,卸売業,プライム,TOPIX Small 2
4928.T,ノエビアホールディングス,80,True,False,69.3,6.3,-6.0,1.13,4470.0,293082400,化学,プライム,TOPIX Small 1
9006.T,京浜急行電鉄,80,True,False,55.9,3.6,-7.8,0.87,1502.0,1300107190,陸運業,プライム,TOPIX Mid400
6062.T,チャーム・ケア・コーポレーション,80,True,True,59.3,3.3,-6.9,1.03,1333.0,110857518,サービス業,プライム,TOPIX Small 2
6754.T,アンリツ,80,True,True,66.1,-4.0,-5.8,0.86,4500.0,7692205750,電気機器,プライム,TOPIX Mid400
7296.T,エフ・シー・シー,80,True,True,59.6,0.1,-8.8,0.53,3465.0,312384375,輸送用機器,プライム,TOPIX Small 1
6345.T,アイチ　コーポレーション,80,True,False,53.3,2.8,-5.4,0.86,1378.0,160119540,機械,プライム,TOPIX Small 2
5988.T,パイオラックス,80,True,False,62.4,2.9,-9.2,0.6,1612.0,116106445,金属製品,プライム,TOPIX Small 1
6804.T,ホシデン,80,True,True,57.3,1.0,-2.9,0.86,2833.0,658139515,電気機器,プライム,TOPIX Small 1
4041.T,日本曹達,80,True,False,60.3,4.6,-10.0,1.0,3675.0,455680300,化学,プライム,TOPIX Small 1
8214.T,ＡＯＫＩホールディングス,80,True,False,58.5,5.1,-9.5,0.87,1659.0,258365610,小売業,プライム,TOPIX Small 1
8918.T,ランド,80,True,True,50.0,0.0,-9.1,1.2,10.0,2684565030,不動産業,スタンダード,TOPIX Small 2
4540.T,ツムラ,80,True,False,53.4,2.0,-9.5,0.86,3755.0,1036235975,医薬品,プライム,TOPIX Mid400
6914.T,オプテックスグループ,80,True,True,61.9,-5.6,-5.6,0.58,4320.0,878024452,電気機器,プライム,TOPIX Small 1
8059.T,第一実業,80,True,False,61.7,4.4,-9.9,1.14,3175.0,188475740,卸売業,プライム,TOPIX Small 2
